
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774244240.622065 | Time=636.92 ms | Mem=385.07 MB | MaxMem=385.07 MB | GpuUtil=0% | Power=96.09/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244241.291966 | Time=0.00 ms | Mem=389.15 MB | MaxMem=389.15 MB | GpuUtil=0% | Power=96.09/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774244240.623160 | Time=829.31 ms | Mem=393.20 MB | MaxMem=401.95 MB | GpuUtil=0% | Power=96.09/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244241.482937 | Time=243.14 ms | Mem=428.95 MB | MaxMem=430.85 MB | GpuUtil=0% | Power=96.09/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774244241.737103 | Time=1.16 ms | Mem=428.95 MB | MaxMem=430.85 MB | GpuUtil=0% | Power=96.09/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244241.741407 | Time=0.85 ms | Mem=428.95 MB | MaxMem=430.85 MB | GpuUtil=0% | Power=96.09/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244241.294602 | Time=3047.58 ms | Mem=428.18 MB | MaxMem=430.85 MB | GpuUtil=0% | Power=96.20/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244241.737141 | Time=2694.43 ms | Mem=440.22 MB | MaxMem=454.79 MB | GpuUtil=0% | Power=96.17/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244240.621795 | Time=3810.64 ms | Mem=440.22 MB | MaxMem=454.79 MB | GpuUtil=0% | Power=96.17/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.434501 | Time=30.12 ms | Mem=486.54 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.15/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.476561 | Time=1.38 ms | Mem=486.54 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.15/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.484443 | Time=1.69 ms | Mem=485.01 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.15/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.348179 | Time=343.54 ms | Mem=484.25 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.696382 | Time=0.00 ms | Mem=494.37 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.477966 | Time=223.22 ms | Mem=485.78 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.704110 | Time=7.29 ms | Mem=521.22 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.716250 | Time=2.43 ms | Mem=521.22 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.722213 | Time=1.62 ms | Mem=520.45 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_grad            | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.702356 | Time=134.14 ms | Mem=520.45 MB | MaxMem=533.15 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.438984 | Time=412.89 ms | Mem=536.49 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=compute_backward     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.718321 | Time=135.88 ms | Mem=531.43 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.856555 | Time=10.62 ms | Mem=485.58 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W

====== Step 3 ======
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.869545 | Time=1.27 ms | Mem=485.58 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.874628 | Time=1.71 ms | Mem=485.58 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.846264 | Time=65.16 ms | Mem=484.81 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.874600 | Time=41.60 ms | Mem=485.58 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.914197 | Time=3.35 ms | Mem=486.35 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.918903 | Time=7.12 ms | Mem=521.32 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774244244.932783 | Time=1.07 ms | Mem=521.32 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.937040 | Time=0.77 ms | Mem=520.55 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
[GPU 1] Task=copy_grad            | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774244244.921393 | Time=111.04 ms | Mem=520.55 MB | MaxMem=547.22 MB | GpuUtil=0% | Power=96.13/300.00W
