
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774165122.829156 | Time=153.20 ms | Mem=246.49 MB | MaxMem=246.49 MB | GpuUtil=0% | Power=110.34/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774165123.002076 | Time=0.27 ms | Mem=247.83 MB | MaxMem=247.83 MB | GpuUtil=0% | Power=110.34/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774165122.829442 | Time=664.62 ms | Mem=255.38 MB | MaxMem=263.94 MB | GpuUtil=12% | Power=114.61/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774165123.509563 | Time=91.08 ms | Mem=298.66 MB | MaxMem=298.66 MB | GpuUtil=12% | Power=116.53/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774165123.605528 | Time=1.20 ms | Mem=298.66 MB | MaxMem=298.66 MB | GpuUtil=12% | Power=116.53/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774165123.610525 | Time=772.04 ms | Mem=297.89 MB | MaxMem=298.66 MB | GpuUtil=98% | Power=194.45/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774165123.008249 | Time=3843.83 ms | Mem=297.89 MB | MaxMem=298.66 MB | GpuUtil=0% | Power=150.81/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774165123.605407 | Time=3363.72 ms | Mem=256.05 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774165126.977109 | Time=19.99 ms | Mem=256.91 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774165126.860922 | Time=0.33 ms | Mem=301.53 MB | MaxMem=301.53 MB | GpuUtil=0% | Power=150.81/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165126.867875 | Time=0.28 ms | Mem=305.17 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=150.81/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774165126.999758 | Time=1.25 ms | Mem=256.91 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.007576 | Time=0.90 ms | Mem=257.68 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.003667 | Time=5.48 ms | Mem=257.11 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.013044 | Time=2.72 ms | Mem=300.39 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.018675 | Time=1.14 ms | Mem=300.39 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.022424 | Time=1.70 ms | Mem=296.56 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_grad            | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165126.870375 | Time=284.88 ms | Mem=299.62 MB | MaxMem=305.17 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_backward     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.020414 | Time=138.91 ms | Mem=256.63 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.162767 | Time=10.92 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W

====== Step 3 ======
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.160324 | Time=0.28 ms | Mem=257.20 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.172440 | Time=0.26 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.177947 | Time=3.66 ms | Mem=257.11 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.175788 | Time=1.22 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.185977 | Time=0.89 ms | Mem=257.11 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.189140 | Time=2.61 ms | Mem=300.39 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.195967 | Time=1.82 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.200999 | Time=0.87 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_grad            | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.176522 | Time=148.73 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_backward     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.195868 | Time=133.82 ms | Mem=257.20 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.334222 | Time=2.36 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W

====== Step 4 ======
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.328040 | Time=0.26 ms | Mem=277.51 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.331720 | Time=0.19 ms | Mem=257.78 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.336254 | Time=1.45 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.343143 | Time=3.57 ms | Mem=257.11 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.349871 | Time=1.10 ms | Mem=257.11 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.351682 | Time=2.86 ms | Mem=300.39 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.358510 | Time=1.46 ms | Mem=300.39 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.362469 | Time=0.93 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_backward     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.359128 | Time=125.68 ms | Mem=256.63 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_grad            | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.336180 | Time=145.61 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.487123 | Time=5.59 ms | Mem=256.34 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W

====== Step 5 ======
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.489392 | Time=0.25 ms | Mem=256.34 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.490213 | Time=0.78 ms | Mem=256.34 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.496197 | Time=0.15 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.502835 | Time=0.95 ms | Mem=257.68 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.498419 | Time=8.01 ms | Mem=257.11 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.510308 | Time=4.45 ms | Mem=300.39 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774165127.517546 | Time=0.77 ms | Mem=300.39 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.521082 | Time=2.25 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=copy_grad            | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.504411 | Time=145.61 ms | Mem=299.62 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_backward     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.518906 | Time=134.28 ms | Mem=256.63 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W
[GPU 0] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774165127.659600 | Time=2.62 ms | Mem=256.91 MB | MaxMem=305.75 MB | GpuUtil=0% | Power=128.38/300.00W

====== Step 6 ======
