
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774873085.679223 | Time=36.24 ms | Mem=288.79 MB | MaxMem=288.79 MB | GpuUtil=46% | Power=208.71/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774873085.772102 | Time=3.04 ms | Mem=307.16 MB | MaxMem=307.16 MB | GpuUtil=46% | Power=208.71/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774873085.678603 | Time=684.73 ms | Mem=297.04 MB | MaxMem=566.04 MB | GpuUtil=55% | Power=214.57/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774873086.368556 | Time=82.15 ms | Mem=1645.05 MB | MaxMem=1645.05 MB | GpuUtil=55% | Power=214.57/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774873086.453833 | Time=1.03 ms | Mem=1645.05 MB | MaxMem=1645.05 MB | GpuUtil=55% | Power=218.08/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774873086.457647 | Time=579.22 ms | Mem=1620.43 MB | MaxMem=1645.05 MB | GpuUtil=39% | Power=220.03/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774873085.782789 | Time=4118.61 ms | Mem=1620.43 MB | MaxMem=1645.05 MB | GpuUtil=100% | Power=299.05/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774873086.455844 | Time=3662.45 ms | Mem=291.65 MB | MaxMem=1853.18 MB | GpuUtil=100% | Power=296.13/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774873090.133093 | Time=23.03 ms | Mem=292.52 MB | MaxMem=1853.18 MB | GpuUtil=100% | Power=296.13/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774873089.918984 | Time=0.00 ms | Mem=1834.81 MB | MaxMem=1834.81 MB | GpuUtil=100% | Power=299.05/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774873089.930379 | Time=6.54 ms | Mem=1853.18 MB | MaxMem=1853.18 MB | GpuUtil=100% | Power=299.05/300.00W
