
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774345356.543883 | Time=18455.06 ms | Mem=556.62 MB | MaxMem=556.62 MB | GpuUtil=47% | Power=93.55/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345375.095600 | Time=0.56 ms | Mem=655.31 MB | MaxMem=655.31 MB | GpuUtil=47% | Power=91.67/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774345356.544669 | Time=20631.84 ms | Mem=564.74 MB | MaxMem=1665.74 MB | GpuUtil=13% | Power=92.91/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345377.200698 | Time=2025.59 ms | Mem=5611.94 MB | MaxMem=5611.94 MB | GpuUtil=0% | Power=92.50/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774345379.248993 | Time=22.25 ms | Mem=5611.94 MB | MaxMem=5611.94 MB | GpuUtil=0% | Power=92.50/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345379.284458 | Time=12.38 ms | Mem=5611.94 MB | MaxMem=5611.94 MB | GpuUtil=0% | Power=90.55/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345375.123289 | Time=17358.06 ms | Mem=5513.44 MB | MaxMem=5611.94 MB | GpuUtil=23% | Power=97.45/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345379.252219 | Time=14175.18 ms | Mem=734.56 MB | MaxMem=5759.44 MB | GpuUtil=0% | Power=93.30/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345356.545075 | Time=36903.93 ms | Mem=734.56 MB | MaxMem=5759.44 MB | GpuUtil=0% | Power=93.30/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774345393.457213 | Time=1273.58 ms | Mem=606.51 MB | MaxMem=5759.44 MB | GpuUtil=55% | Power=108.36/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774345394.743188 | Time=11.17 ms | Mem=606.51 MB | MaxMem=5759.44 MB | GpuUtil=55% | Power=108.36/300.00W
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345394.766693 | Time=27.05 ms | Mem=606.51 MB | MaxMem=5759.44 MB | GpuUtil=55% | Power=106.20/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774345392.512981 | Time=6014.80 ms | Mem=509.01 MB | MaxMem=5759.44 MB | GpuUtil=100% | Power=121.83/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345398.547112 | Time=47.15 ms | Mem=803.51 MB | MaxMem=5759.44 MB | GpuUtil=100% | Power=121.83/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774345394.767551 | Time=4369.51 ms | Mem=705.01 MB | MaxMem=5759.44 MB | GpuUtil=22% | Power=111.51/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345399.160018 | Time=123.25 ms | Mem=5752.20 MB | MaxMem=5759.44 MB | GpuUtil=10% | Power=107.39/300.00W
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774345399.305500 | Time=15.24 ms | Mem=5752.20 MB | MaxMem=5759.44 MB | GpuUtil=10% | Power=103.78/300.00W
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345399.339967 | Time=51.08 ms | Mem=5653.70 MB | MaxMem=5759.44 MB | GpuUtil=10% | Power=103.78/300.00W
[GPU 2] Task=copy_grad            | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345398.612517 | Time=3417.87 ms | Mem=5653.70 MB | MaxMem=5759.44 MB | GpuUtil=22% | Power=97.79/300.00W
[GPU 2] Task=compute_backward     | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345399.308505 | Time=2993.36 ms | Mem=872.95 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=94.20/300.00W
[GPU 2] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345393.499685 | Time=8832.08 ms | Mem=872.95 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=92.02/300.00W
[GPU 2] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774345402.342170 | Time=172.20 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=12% | Power=96.50/300.00W

====== Step 3 ======
[GPU 2] Task=copy_model           | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774345402.536779 | Time=11.87 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=12% | Power=96.50/300.00W
[GPU 2] Task=copy_model           | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345402.559868 | Time=31.24 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=12% | Power=96.50/300.00W
[GPU 2] Task=copy_batch           | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774345402.053210 | Time=3377.06 ms | Mem=509.01 MB | MaxMem=5899.70 MB | GpuUtil=74% | Power=122.08/300.00W
[GPU 2] Task=copy_batch           | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345405.458234 | Time=64.15 ms | Mem=803.51 MB | MaxMem=5899.70 MB | GpuUtil=74% | Power=124.42/300.00W
[GPU 2] Task=compute_forward      | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774345402.562711 | Time=3485.87 ms | Mem=705.01 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=108.69/300.00W
[GPU 2] Task=compute_forward      | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345406.071091 | Time=122.10 ms | Mem=5752.20 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=105.27/300.00W
[GPU 2] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=2 Target=True | StartTime=1774345406.235205 | Time=16.23 ms | Mem=5752.20 MB | MaxMem=5899.70 MB | GpuUtil=17% | Power=104.30/300.00W
[GPU 2] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345406.266916 | Time=59.57 ms | Mem=5653.70 MB | MaxMem=5899.70 MB | GpuUtil=17% | Power=102.74/300.00W
[GPU 2] Task=copy_grad            | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345405.538203 | Time=3523.86 ms | Mem=5653.70 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=93.97/300.00W
[GPU 2] Task=compute_backward     | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345406.238206 | Time=3087.64 ms | Mem=872.95 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=91.81/300.00W
[GPU 2] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345402.369477 | Time=6978.89 ms | Mem=872.95 MB | MaxMem=5899.70 MB | GpuUtil=0% | Power=91.81/300.00W
[GPU 2] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=2 Target=False | StartTime=1774345409.351950 | Time=110.21 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=15% | Power=93.23/300.00W

====== Step 4 ======
[GPU 2] Task=copy_model           | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1774345409.484659 | Time=12.94 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=15% | Power=93.23/300.00W
[GPU 2] Task=copy_model           | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345409.512196 | Time=31.37 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=15% | Power=98.14/300.00W
[GPU 2] Task=copy_batch           | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1774345409.094422 | Time=6336.06 ms | Mem=509.01 MB | MaxMem=5899.70 MB | GpuUtil=100% | Power=103.44/300.00W
[GPU 2] Task=copy_batch           | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345415.449891 | Time=243.64 ms | Mem=803.51 MB | MaxMem=5899.70 MB | GpuUtil=34% | Power=101.72/300.00W
[GPU 2] Task=compute_forward      | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1774345409.515669 | Time=6526.75 ms | Mem=705.01 MB | MaxMem=5899.70 MB | GpuUtil=20% | Power=100.92/300.00W
[GPU 2] Task=compute_forward      | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345416.071649 | Time=122.18 ms | Mem=5752.20 MB | MaxMem=5899.70 MB | GpuUtil=20% | Power=103.07/300.00W
[GPU 2] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1774345416.216718 | Time=12.62 ms | Mem=5752.20 MB | MaxMem=5899.70 MB | GpuUtil=20% | Power=104.21/300.00W
[GPU 2] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345416.250183 | Time=78.91 ms | Mem=5653.70 MB | MaxMem=5899.70 MB | GpuUtil=18% | Power=101.97/300.00W
[GPU 2] Task=copy_grad            | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345415.713545 | Time=3215.85 ms | Mem=5653.70 MB | MaxMem=5899.70 MB | GpuUtil=6% | Power=95.87/300.00W
[GPU 2] Task=compute_backward     | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345416.216238 | Time=2968.43 ms | Mem=872.95 MB | MaxMem=5899.70 MB | GpuUtil=41% | Power=103.24/300.00W
[GPU 2] Task=copy_grad_out        | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345409.415687 | Time=9795.94 ms | Mem=872.95 MB | MaxMem=5899.70 MB | GpuUtil=41% | Power=103.31/300.00W
[GPU 2] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1774345419.211317 | Time=84.44 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=26% | Power=103.31/300.00W

====== Step 5 ======
[GPU 2] Task=copy_model           | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1774345419.316945 | Time=11.49 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=26% | Power=101.13/300.00W
[GPU 2] Task=copy_model           | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1774345419.373593 | Time=36.81 ms | Mem=606.51 MB | MaxMem=5899.70 MB | GpuUtil=26% | Power=101.13/300.00W
[GPU 2] Task=copy_batch           | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1774345418.961940 | Time=3035.93 ms | Mem=509.01 MB | MaxMem=5899.70 MB | GpuUtil=100% | Power=120.86/300.00W
[GPU 2] Task=copy_batch           | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1774345422.028575 | Time=10.61 ms | Mem=902.10 MB | MaxMem=5899.70 MB | GpuUtil=100% | Power=124.60/300.00W
[GPU 2] Task=compute_forward      | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1774345419.372011 | Time=3257.66 ms | Mem=705.01 MB | MaxMem=5899.70 MB | GpuUtil=5% | Power=109.32/300.00W
[GPU 2] Task=compute_forward      | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1774345422.652245 | Time=122.57 ms | Mem=5752.20 MB | MaxMem=5899.70 MB | GpuUtil=23% | Power=107.22/300.00W
[GPU 2] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1774345422.797935 | Time=14.91 ms | Mem=5752.20 MB | MaxMem=5899.70 MB | GpuUtil=23% | Power=107.22/300.00W
[GPU 2] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1774345422.895626 | Time=19.32 ms | Mem=5653.70 MB | MaxMem=5899.70 MB | GpuUtil=11% | Power=103.18/300.00W
[GPU 2] Task=copy_grad            | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1774345422.056046 | Time=4620.68 ms | Mem=5653.70 MB | MaxMem=5899.70 MB | GpuUtil=22% | Power=97.29/300.00W
