
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775098744.973284 | Wall=232.67 ms | CUDA=232.50 ms | ExecWall=24.61 ms | QWait=208.06 ms | SyncWait=0.03 ms | InjectedSleep=0.00 ms | Mem=119.29 MB | MaxMem=119.29 MB | GpuUtil=0.0% | Power=86.23/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775098745.227022 | Wall=11.83 ms | CUDA=11.80 ms | ExecWall=11.83 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=162.17 MB | MaxMem=162.17 MB | GpuUtil=0.0% | Power=86.24/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775098744.973891 | Wall=779.20 ms | CUDA=779.14 ms | ExecWall=779.20 ms | QWait=0.00 ms | SyncWait=11.52 ms | InjectedSleep=0.00 ms | Mem=152.04 MB | MaxMem=421.04 MB | GpuUtil=0.8% | Power=86.11/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775098745.764097 | Wall=40.76 ms | CUDA=40.70 ms | ExecWall=40.75 ms | QWait=0.01 ms | SyncWait=0.24 ms | InjectedSleep=0.00 ms | Mem=446.04 MB | MaxMem=446.04 MB | GpuUtil=3.0% | Power=85.71/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775098745.807818 | Wall=1.26 ms | CUDA=1.20 ms | ExecWall=1.25 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.04 MB | MaxMem=446.04 MB | GpuUtil=3.0% | Power=89.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775098745.821077 | Wall=348.56 ms | CUDA=348.48 ms | ExecWall=348.55 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.42 MB | MaxMem=446.04 MB | GpuUtil=8.1% | Power=91.14/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775098745.244888 | Wall=5047.72 ms | CUDA=5047.31 ms | ExecWall=0.00 ms | QWait=9531.31 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.42 MB | MaxMem=446.04 MB | GpuUtil=2.0% | Power=86.84/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775098745.807853 | Wall=4598.30 ms | CUDA=4598.22 ms | ExecWall=4598.30 ms | QWait=0.00 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=145.83 MB | MaxMem=568.42 MB | GpuUtil=2.0% | Power=86.90/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775098750.416654 | Wall=18.87 ms | CUDA=18.82 ms | ExecWall=18.87 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.42 MB | GpuUtil=0.0% | Power=85.64/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1775098750.299518 | Wall=11.64 ms | CUDA=1.59 ms | ExecWall=11.64 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=488.79 MB | MaxMem=568.42 MB | GpuUtil=0.0% | Power=85.36/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775098750.315825 | Wall=2.37 ms | CUDA=2.33 ms | ExecWall=2.37 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=507.17 MB | MaxMem=568.42 MB | GpuUtil=0.0% | Power=85.36/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1775098750.442474 | Wall=0.79 ms | CUDA=0.74 ms | ExecWall=0.79 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.42 MB | GpuUtil=0.0% | Power=85.64/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775098750.446365 | Wall=1.60 ms | CUDA=1.14 ms | ExecWall=1.59 ms | QWait=0.01 ms | SyncWait=0.11 ms | InjectedSleep=0.00 ms | Mem=394.37 MB | MaxMem=568.42 MB | GpuUtil=0.0% | Power=85.64/300.00W
