
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775109862.547658 | Wall=116.52 ms | CUDA=116.44 ms | ExecWall=22.99 ms | QWait=93.53 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=119.29 MB | MaxMem=119.29 MB | GpuUtil=0% | Power=32.03/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775109862.706017 | Wall=15.96 ms | CUDA=15.89 ms | ExecWall=15.96 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=162.17 MB | MaxMem=162.17 MB | GpuUtil=0% | Power=32.03/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775109862.548226 | Wall=693.01 ms | CUDA=692.95 ms | ExecWall=693.01 ms | QWait=0.00 ms | SyncWait=11.38 ms | InjectedSleep=0.00 ms | Mem=152.04 MB | MaxMem=421.04 MB | GpuUtil=0% | Power=32.03/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775109863.252363 | Wall=50.38 ms | CUDA=50.32 ms | ExecWall=50.37 ms | QWait=0.01 ms | SyncWait=0.23 ms | InjectedSleep=0.00 ms | Mem=446.04 MB | MaxMem=446.04 MB | GpuUtil=0% | Power=32.03/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775109863.305754 | Wall=1.33 ms | CUDA=1.26 ms | ExecWall=1.33 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.04 MB | MaxMem=446.04 MB | GpuUtil=0% | Power=32.03/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775109863.310241 | Wall=278.55 ms | CUDA=278.50 ms | ExecWall=278.55 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.42 MB | MaxMem=446.04 MB | GpuUtil=0% | Power=32.13/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775109862.730216 | Wall=4575.67 ms | CUDA=4575.60 ms | ExecWall=0.26 ms | QWait=4575.41 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.42 MB | MaxMem=446.04 MB | GpuUtil=0% | Power=32.29/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775109863.306811 | Wall=4100.89 ms | CUDA=4100.80 ms | ExecWall=4100.89 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.83 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.29/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775109867.414515 | Wall=20.44 ms | CUDA=20.39 ms | ExecWall=20.44 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.29/300.00W

====== Step 2 ======
