
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774700908.397541 | Time=2226.30 ms | Mem=601.25 MB | MaxMem=601.25 MB | GpuUtil=0% | Power=145.84/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700910.675323 | Time=0.10 ms | Mem=996.75 MB | MaxMem=996.75 MB | GpuUtil=0% | Power=145.84/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774700908.397748 | Time=2692.25 ms | Mem=609.38 MB | MaxMem=1710.38 MB | GpuUtil=0% | Power=106.52/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700911.103964 | Time=207.83 ms | Mem=5411.57 MB | MaxMem=5411.57 MB | GpuUtil=0% | Power=98.54/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774700911.341667 | Time=1.58 ms | Mem=5411.57 MB | MaxMem=5411.57 MB | GpuUtil=0% | Power=98.54/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700911.349593 | Time=1.04 ms | Mem=5411.57 MB | MaxMem=5411.57 MB | GpuUtil=0% | Power=98.54/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700910.680126 | Time=2136.74 ms | Mem=5313.07 MB | MaxMem=5411.57 MB | GpuUtil=0% | Power=95.63/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700911.341962 | Time=1610.54 ms | Mem=679.69 MB | MaxMem=5559.07 MB | GpuUtil=0% | Power=95.63/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700908.400360 | Time=4553.63 ms | Mem=679.69 MB | MaxMem=5559.07 MB | GpuUtil=0% | Power=95.63/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774700912.974721 | Time=175.13 ms | Mem=647.88 MB | MaxMem=5559.07 MB | GpuUtil=32% | Power=92.81/300.00W

====== Step 2 ======
