
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774364754.762261 | Time=3314.86 ms | Mem=701.71 MB | MaxMem=701.71 MB | GpuUtil=0% | Power=113.65/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.093976 | Time=0.05 ms | Mem=998.52 MB | MaxMem=998.52 MB | GpuUtil=0% | Power=113.65/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774364754.762430 | Time=3689.20 ms | Mem=512.69 MB | MaxMem=1712.14 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.462702 | Time=247.36 ms | Mem=5196.54 MB | MaxMem=5245.44 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.732801 | Time=61.74 ms | Mem=5196.49 MB | MaxMem=5245.44 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774364754.762581 | Time=4172.69 ms | Mem=738.17 MB | MaxMem=5304.40 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.797196 | Time=136.84 ms | Mem=738.17 MB | MaxMem=5304.40 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.947426 | Time=27.16 ms | Mem=855.46 MB | MaxMem=5304.40 MB | GpuUtil=0% | Power=113.64/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774364758.983425 | Time=1.01 ms | Mem=855.46 MB | MaxMem=5304.40 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.987697 | Time=9.80 ms | Mem=855.46 MB | MaxMem=5304.40 MB | GpuUtil=0% | Power=113.64/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774364758.098189 | Time=2916.86 ms | Mem=757.96 MB | MaxMem=5304.40 MB | GpuUtil=57% | Power=157.03/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364761.018491 | Time=27.30 ms | Mem=856.00 MB | MaxMem=5304.40 MB | GpuUtil=57% | Power=157.03/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774364758.987654 | Time=2282.84 ms | Mem=757.50 MB | MaxMem=5304.40 MB | GpuUtil=0% | Power=157.25/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364761.284274 | Time=50.58 ms | Mem=5441.35 MB | MaxMem=5489.25 MB | GpuUtil=0% | Power=157.25/300.00W
[GPU 3] Task=compute_loss         | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364761.337200 | Time=1.72 ms | Mem=5441.30 MB | MaxMem=5489.25 MB | GpuUtil=0% | Power=157.25/300.00W
[GPU 3] Task=compute_backward     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364761.341264 | Time=96.76 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=143.99/300.00W
[GPU 3] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364758.947353 | Time=2495.99 ms | Mem=977.74 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=143.99/300.00W
[GPU 3] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774364761.445345 | Time=24.50 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=127.67/300.00W

====== Step 3 ======
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774364761.472051 | Time=1.12 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=127.67/300.00W
[GPU 3] Task=copy_model           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774364761.477759 | Time=2.49 ms | Mem=757.46 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=127.67/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774364761.048297 | Time=2054.65 ms | Mem=856.46 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=158.96/300.00W
[GPU 3] Task=copy_batch           | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774364763.115566 | Time=27.93 ms | Mem=856.00 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=158.96/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=True | StartTime=1774364761.477784 | Time=1885.41 ms | Mem=757.50 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=159.10/300.00W
[GPU 3] Task=compute_forward      | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774364763.380557 | Time=50.65 ms | Mem=5441.35 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=159.10/300.00W
[GPU 3] Task=compute_loss         | Batch=3 UBatch=0 | Partition=3 Target=False | StartTime=1774364763.435480 | Time=2.02 ms | Mem=5441.30 MB | MaxMem=5539.08 MB | GpuUtil=0% | Power=159.10/300.00W
