
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774250930.818691 | Time=2303.82 ms | Mem=556.62 MB | MaxMem=556.62 MB | GpuUtil=46% | Power=218.74/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250933.162498 | Time=147.78 ms | Mem=655.12 MB | MaxMem=655.31 MB | GpuUtil=50% | Power=195.72/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774250930.818474 | Time=2915.95 ms | Mem=564.74 MB | MaxMem=1665.74 MB | GpuUtil=72% | Power=188.28/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250933.745497 | Time=268.42 ms | Mem=5611.94 MB | MaxMem=5611.94 MB | GpuUtil=46% | Power=188.48/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774250934.032611 | Time=1.26 ms | Mem=5611.94 MB | MaxMem=5611.94 MB | GpuUtil=46% | Power=188.48/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250934.037584 | Time=0.88 ms | Mem=5611.94 MB | MaxMem=5611.94 MB | GpuUtil=46% | Power=188.48/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250933.326567 | Time=2418.03 ms | Mem=5513.44 MB | MaxMem=5611.94 MB | GpuUtil=46% | Power=204.06/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250934.031168 | Time=1955.22 ms | Mem=734.56 MB | MaxMem=5759.44 MB | GpuUtil=46% | Power=204.05/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250930.818592 | Time=5168.85 ms | Mem=734.56 MB | MaxMem=5759.44 MB | GpuUtil=46% | Power=204.05/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774250936.003179 | Time=38.60 ms | Mem=802.26 MB | MaxMem=5759.44 MB | GpuUtil=46% | Power=204.05/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774250936.051288 | Time=0.82 ms | Mem=802.26 MB | MaxMem=5759.44 MB | GpuUtil=46% | Power=204.05/300.00W
