
====== Step 1 ======
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774444736.717346 | Time=3045.91 ms | Mem=384.86 MB | MaxMem=384.86 MB | GpuUtil=93% | Power=283.20/300.00W
[GPU 3] Task=copy_batch           | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774444739.805564 | Time=0.00 ms | Mem=583.76 MB | MaxMem=583.76 MB | GpuUtil=93% | Power=283.20/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=True | StartTime=1774444736.717182 | Time=3304.32 ms | Mem=342.91 MB | MaxMem=944.89 MB | GpuUtil=97% | Power=283.89/300.00W
[GPU 3] Task=compute_forward      | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774444740.039392 | Time=268.69 ms | Mem=1811.39 MB | MaxMem=1835.34 MB | GpuUtil=100% | Power=266.44/300.00W
[GPU 3] Task=compute_loss         | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774444740.325380 | Time=55.10 ms | Mem=1811.37 MB | MaxMem=1835.34 MB | GpuUtil=100% | Power=253.20/300.00W
[GPU 3] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774444736.720347 | Time=3801.90 ms | Mem=544.52 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=241.23/300.00W
[GPU 3] Task=compute_backward     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774444740.391614 | Time=133.83 ms | Mem=494.47 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=241.23/300.00W
[GPU 3] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=3 Target=False | StartTime=1774444740.539864 | Time=100.09 ms | Mem=584.94 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=218.81/300.00W

====== Step 2 ======
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774444740.663749 | Time=0.91 ms | Mem=535.94 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=218.81/300.00W
[GPU 3] Task=copy_model           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774444740.672506 | Time=1.99 ms | Mem=535.94 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=218.81/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774444739.811534 | Time=2630.35 ms | Mem=535.94 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=288.19/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=True | StartTime=1774444740.672748 | Time=1899.44 ms | Mem=535.96 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=284.27/300.00W
[GPU 3] Task=copy_batch           | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774444742.454999 | Time=117.89 ms | Mem=535.96 MB | MaxMem=1868.77 MB | GpuUtil=100% | Power=284.27/300.00W
[GPU 3] Task=compute_forward      | Batch=2 UBatch=0 | Partition=3 Target=False | StartTime=1774444742.585429 | Time=17.69 ms | Mem=2005.44 MB | MaxMem=2029.39 MB | GpuUtil=100% | Power=284.27/300.00W
