
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774436700.500997 | Time=1597.67 ms | Mem=474.27 MB | MaxMem=474.27 MB | GpuUtil=50% | Power=200.89/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436702.121646 | Time=93.91 ms | Mem=975.20 MB | MaxMem=975.20 MB | GpuUtil=50% | Power=209.94/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774436700.500659 | Time=2192.74 ms | Mem=579.70 MB | MaxMem=1680.70 MB | GpuUtil=50% | Power=210.35/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436702.704805 | Time=294.29 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=51% | Power=210.46/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774436703.016530 | Time=1.64 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=51% | Power=210.42/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436703.024181 | Time=0.85 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=50% | Power=210.42/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436702.235741 | Time=4374.07 ms | Mem=5822.32 MB | MaxMem=5920.82 MB | GpuUtil=51% | Power=221.07/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436703.016397 | Time=3739.51 ms | Mem=714.88 MB | MaxMem=6068.32 MB | GpuUtil=51% | Power=220.87/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436700.503393 | Time=6254.20 ms | Mem=714.88 MB | MaxMem=6068.32 MB | GpuUtil=51% | Power=220.87/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774436706.789119 | Time=122.71 ms | Mem=555.44 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=220.75/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774436706.916683 | Time=1.30 ms | Mem=555.44 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=220.75/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436706.924374 | Time=4.09 ms | Mem=555.44 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=218.13/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774436706.624727 | Time=1103.69 ms | Mem=653.94 MB | MaxMem=6068.32 MB | GpuUtil=25% | Power=188.34/300.00W
[GPU 1] Task=copy_batch           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436707.736693 | Time=75.36 ms | Mem=752.44 MB | MaxMem=6068.32 MB | GpuUtil=25% | Power=188.34/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774436706.924618 | Time=1225.46 ms | Mem=653.94 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=182.71/300.00W
[GPU 1] Task=compute_forward      | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436708.187390 | Time=84.21 ms | Mem=5995.06 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=187.91/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774436708.279317 | Time=1.61 ms | Mem=5995.06 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=187.91/300.00W
[GPU 1] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436708.286469 | Time=172.59 ms | Mem=5896.56 MB | MaxMem=6068.32 MB | GpuUtil=51% | Power=191.81/300.00W
[GPU 1] Task=copy_grad            | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436707.818467 | Time=1825.42 ms | Mem=5896.56 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=219.42/300.00W
[GPU 1] Task=compute_backward     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436708.278096 | Time=1456.37 ms | Mem=788.12 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=219.44/300.00W
[GPU 1] Task=copy_grad_out        | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436706.792345 | Time=2944.09 ms | Mem=788.12 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=219.44/300.00W
[GPU 1] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774436709.743327 | Time=68.21 ms | Mem=555.44 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=219.44/300.00W

====== Step 3 ======
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774436709.814533 | Time=2.42 ms | Mem=555.44 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=219.44/300.00W
[GPU 1] Task=copy_model           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436709.820492 | Time=2.44 ms | Mem=555.44 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=219.44/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774436709.652149 | Time=897.71 ms | Mem=457.94 MB | MaxMem=6142.56 MB | GpuUtil=14% | Power=182.80/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774436709.820451 | Time=1148.67 ms | Mem=653.94 MB | MaxMem=6142.56 MB | GpuUtil=51% | Power=173.43/300.00W
[GPU 1] Task=copy_batch           | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436710.560961 | Time=407.68 ms | Mem=653.94 MB | MaxMem=6142.56 MB | GpuUtil=51% | Power=173.43/300.00W
[GPU 1] Task=compute_forward      | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436711.006351 | Time=103.63 ms | Mem=5995.06 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=182.37/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=True | StartTime=1774436711.128416 | Time=1.01 ms | Mem=5995.06 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=182.37/300.00W
[GPU 1] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436711.144736 | Time=258.56 ms | Mem=5896.56 MB | MaxMem=6142.56 MB | GpuUtil=50% | Power=197.09/300.00W
[GPU 1] Task=copy_grad            | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436711.009511 | Time=1578.34 ms | Mem=5896.56 MB | MaxMem=6142.56 MB | GpuUtil=51% | Power=219.22/300.00W
[GPU 1] Task=copy_grad_out        | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436709.745600 | Time=3023.79 ms | Mem=788.12 MB | MaxMem=6142.56 MB | GpuUtil=51% | Power=219.46/300.00W
[GPU 1] Task=compute_backward     | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436711.127610 | Time=1636.61 ms | Mem=788.12 MB | MaxMem=6142.56 MB | GpuUtil=51% | Power=219.46/300.00W
[GPU 1] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=1 Target=False | StartTime=1774436712.783943 | Time=18.10 ms | Mem=751.44 MB | MaxMem=6142.56 MB | GpuUtil=51% | Power=219.46/300.00W

====== Step 4 ======
