
====== Step 1 ======
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774440102.130239 | Time=1695.17 ms | Mem=375.57 MB | MaxMem=375.57 MB | GpuUtil=50% | Power=210.41/300.00W
[GPU 1] Task=copy_batch           | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440103.844422 | Time=97.07 ms | Mem=967.07 MB | MaxMem=967.07 MB | GpuUtil=50% | Power=214.16/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774440102.127351 | Time=2396.50 ms | Mem=579.70 MB | MaxMem=1680.70 MB | GpuUtil=50% | Power=210.42/300.00W
[GPU 1] Task=compute_forward      | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440104.554581 | Time=411.89 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=51% | Power=210.40/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=True | StartTime=1774440104.980611 | Time=1.32 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=51% | Power=210.40/300.00W
[GPU 1] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440104.990561 | Time=0.94 ms | Mem=5920.82 MB | MaxMem=5920.82 MB | GpuUtil=51% | Power=210.40/300.00W
[GPU 1] Task=copy_grad            | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440103.982760 | Time=4934.10 ms | Mem=5822.32 MB | MaxMem=5920.82 MB | GpuUtil=50% | Power=218.07/300.00W
[GPU 1] Task=compute_backward     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440104.980908 | Time=4100.20 ms | Mem=714.88 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=219.59/300.00W
[GPU 1] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440102.127218 | Time=6956.13 ms | Mem=714.88 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=219.59/300.00W
[GPU 1] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=1 Target=False | StartTime=1774440109.114007 | Time=95.34 ms | Mem=751.44 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=219.56/300.00W

====== Step 2 ======
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=True | StartTime=1774440109.213976 | Time=0.00 ms | Mem=751.44 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=219.56/300.00W
[GPU 1] Task=copy_model           | Batch=2 UBatch=0 | Partition=1 Target=False | StartTime=1774440109.222620 | Time=3.82 ms | Mem=751.44 MB | MaxMem=6068.32 MB | GpuUtil=50% | Power=219.56/300.00W
