
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774886762.277202 | Wall=51.55 ms | CUDA=51.39 ms | ExecWall=27.67 ms | QWait=23.88 ms | SyncWait=0.04 ms | InjectedSleep=0.00 ms | Mem=167.91 MB | MaxMem=167.91 MB | GpuUtil=40% | Power=209.64/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774886762.377805 | Wall=12.86 ms | CUDA=12.61 ms | ExecWall=12.86 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=210.79 MB | MaxMem=210.79 MB | GpuUtil=40% | Power=208.88/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774886762.277789 | Wall=740.89 ms | CUDA=740.82 ms | ExecWall=740.89 ms | QWait=0.00 ms | SyncWait=21.13 ms | InjectedSleep=0.00 ms | Mem=200.66 MB | MaxMem=469.66 MB | GpuUtil=58% | Power=212.23/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774886763.029701 | Wall=87.73 ms | CUDA=87.69 ms | ExecWall=87.72 ms | QWait=0.01 ms | SyncWait=0.97 ms | InjectedSleep=0.00 ms | Mem=1254.67 MB | MaxMem=1254.67 MB | GpuUtil=55% | Power=216.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774886763.122951 | Wall=1.10 ms | CUDA=1.05 ms | ExecWall=1.10 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1254.67 MB | MaxMem=1254.67 MB | GpuUtil=55% | Power=216.38/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774886763.129214 | Wall=344.82 ms | CUDA=344.79 ms | ExecWall=344.82 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1230.05 MB | MaxMem=1254.67 MB | GpuUtil=51% | Power=220.26/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774886762.395138 | Wall=4820.86 ms | CUDA=4820.78 ms | ExecWall=0.35 ms | QWait=4820.51 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1230.05 MB | MaxMem=1254.67 MB | GpuUtil=40% | Power=208.92/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774886763.124826 | Wall=4197.32 ms | CUDA=4197.25 ms | ExecWall=4197.32 ms | QWait=0.00 ms | SyncWait=3.29 ms | InjectedSleep=0.00 ms | Mem=195.01 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=211.81/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.325127 | Wall=19.68 ms | CUDA=19.62 ms | ExecWall=19.68 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774886767.230936 | Wall=1.81 ms | CUDA=1.77 ms | ExecWall=1.81 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=1444.43 MB | MaxMem=1444.43 MB | GpuUtil=40% | Power=209.06/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.236081 | Wall=1.63 ms | CUDA=1.58 ms | ExecWall=1.63 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=1462.80 MB | MaxMem=1462.80 MB | GpuUtil=40% | Power=209.06/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774886767.347311 | Wall=1.19 ms | CUDA=1.12 ms | ExecWall=1.19 ms | QWait=0.00 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.351925 | Wall=1.87 ms | CUDA=1.76 ms | ExecWall=1.87 ms | QWait=0.00 ms | SyncWait=0.27 ms | InjectedSleep=0.00 ms | Mem=244.85 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774886767.351351 | Wall=32.68 ms | CUDA=32.63 ms | ExecWall=32.68 ms | QWait=0.00 ms | SyncWait=25.91 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.388583 | Wall=13.22 ms | CUDA=11.58 ms | ExecWall=13.22 ms | QWait=0.01 ms | SyncWait=9.15 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774886767.404973 | Wall=2.55 ms | CUDA=1.98 ms | ExecWall=2.54 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774886767.415014 | Wall=2.35 ms | CUDA=2.02 ms | ExecWall=2.35 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=57% | Power=211.81/300.00W
