
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774244861.710724 | Time=2010.77 ms | Mem=374.90 MB | MaxMem=374.90 MB | GpuUtil=56% | Power=200.51/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244863.757334 | Time=0.06 ms | Mem=385.13 MB | MaxMem=385.13 MB | GpuUtil=46% | Power=200.51/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774244861.710436 | Time=2272.92 ms | Mem=379.52 MB | MaxMem=414.28 MB | GpuUtil=49% | Power=200.60/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244863.998298 | Time=310.18 ms | Mem=548.60 MB | MaxMem=548.60 MB | GpuUtil=51% | Power=203.19/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1774244864.320825 | Time=1.19 ms | Mem=548.60 MB | MaxMem=548.60 MB | GpuUtil=51% | Power=203.19/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244864.330013 | Time=1.04 ms | Mem=548.60 MB | MaxMem=548.60 MB | GpuUtil=51% | Power=203.19/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244863.768815 | Time=1544.17 ms | Mem=545.53 MB | MaxMem=548.60 MB | GpuUtil=46% | Power=200.93/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244864.320857 | Time=1069.69 ms | Mem=470.46 MB | MaxMem=555.04 MB | GpuUtil=46% | Power=200.91/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244861.710682 | Time=3683.39 ms | Mem=470.46 MB | MaxMem=555.04 MB | GpuUtil=46% | Power=200.91/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1774244865.394888 | Time=107.14 ms | Mem=531.67 MB | MaxMem=630.70 MB | GpuUtil=46% | Power=201.47/300.00W

====== Step 2 ======
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774244865.504715 | Time=1.04 ms | Mem=531.67 MB | MaxMem=630.70 MB | GpuUtil=46% | Power=201.47/300.00W
[GPU 2] Task=copy_model           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774244865.508109 | Time=2.27 ms | Mem=531.67 MB | MaxMem=630.70 MB | GpuUtil=46% | Power=201.47/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774244865.320163 | Time=585.15 ms | Mem=550.58 MB | MaxMem=630.70 MB | GpuUtil=46% | Power=201.87/300.00W
[GPU 2] Task=copy_batch           | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774244865.914899 | Time=0.04 ms | Mem=538.25 MB | MaxMem=630.70 MB | GpuUtil=46% | Power=201.87/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774244865.508002 | Time=407.46 ms | Mem=534.75 MB | MaxMem=630.70 MB | GpuUtil=46% | Power=201.87/300.00W
[GPU 2] Task=compute_forward      | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774244865.919672 | Time=12.96 ms | Mem=703.84 MB | MaxMem=703.84 MB | GpuUtil=46% | Power=201.87/300.00W
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=True | StartTime=1774244865.937826 | Time=1.09 ms | Mem=703.84 MB | MaxMem=703.84 MB | GpuUtil=46% | Power=201.87/300.00W
[GPU 2] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774244865.944339 | Time=1.00 ms | Mem=700.76 MB | MaxMem=703.84 MB | GpuUtil=46% | Power=203.06/300.00W
[GPU 2] Task=copy_grad            | Batch=2 UBatch=0 | Partition=2 Target=False | StartTime=1774244865.917961 | Time=80.08 ms | Mem=700.76 MB | MaxMem=703.84 MB | GpuUtil=51% | Power=203.06/300.00W
