
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774245077.757407 | Time=6.10 ms | Mem=251.27 MB | MaxMem=251.27 MB | GpuUtil=4% | Power=96.54/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774245077.816886 | Time=0.45 ms | Mem=253.57 MB | MaxMem=253.57 MB | GpuUtil=4% | Power=96.54/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774245077.759676 | Time=492.96 ms | Mem=259.41 MB | MaxMem=292.97 MB | GpuUtil=3% | Power=96.83/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774245078.270591 | Time=98.35 ms | Mem=427.87 MB | MaxMem=427.87 MB | GpuUtil=9% | Power=98.60/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1774245078.380110 | Time=1.32 ms | Mem=427.87 MB | MaxMem=427.87 MB | GpuUtil=9% | Power=98.48/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774245078.384322 | Time=886.89 ms | Mem=424.79 MB | MaxMem=427.87 MB | GpuUtil=0% | Power=98.87/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774245077.821926 | Time=4243.52 ms | Mem=424.79 MB | MaxMem=427.87 MB | GpuUtil=0% | Power=96.61/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774245078.380417 | Time=3779.72 ms | Mem=259.50 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=96.65/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1774245082.163306 | Time=19.94 ms | Mem=260.36 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=96.65/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774245082.074783 | Time=0.38 ms | Mem=451.59 MB | MaxMem=451.59 MB | GpuUtil=0% | Power=96.61/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774245082.081297 | Time=0.39 ms | Mem=453.88 MB | MaxMem=453.88 MB | GpuUtil=0% | Power=96.61/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774245082.189047 | Time=1.62 ms | Mem=260.36 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=97.00/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774245082.190250 | Time=8.29 ms | Mem=261.14 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=97.00/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774245082.198824 | Time=1.12 ms | Mem=261.14 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=97.00/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1774245082.202140 | Time=2.87 ms | Mem=429.59 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=97.00/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1774245082.207600 | Time=0.91 ms | Mem=429.59 MB | MaxMem=453.88 MB | GpuUtil=2% | Power=97.00/300.00W
