
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1775004447.639612 | Wall=2213.29 ms | CUDA=2213.04 ms | ExecWall=2.64 ms | QWait=2210.64 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=549.18 MB | MaxMem=549.18 MB | GpuUtil=56% | Power=154.80/300.00W
[GPU 2] Task=copy_batch           | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004449.875015 | Wall=0.27 ms | CUDA=0.22 ms | ExecWall=0.26 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=944.68 MB | MaxMem=944.68 MB | GpuUtil=56% | Power=154.80/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1775004447.639744 | Wall=2641.02 ms | CUDA=2640.89 ms | ExecWall=2641.02 ms | QWait=0.00 ms | SyncWait=225.56 ms | InjectedSleep=0.00 ms | Mem=557.30 MB | MaxMem=1658.30 MB | GpuUtil=0% | Power=109.35/300.00W
[GPU 2] Task=compute_forward      | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004450.294712 | Wall=222.22 ms | CUDA=222.16 ms | ExecWall=222.22 ms | QWait=0.01 ms | SyncWait=28.59 ms | InjectedSleep=0.00 ms | Mem=5065.48 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=107.39/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=True | StartTime=1775004450.546667 | Wall=1.12 ms | CUDA=1.08 ms | ExecWall=1.11 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5065.48 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=98.20/300.00W
[GPU 2] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004450.552912 | Wall=1.49 ms | CUDA=1.44 ms | ExecWall=1.48 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5065.48 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=98.20/300.00W
[GPU 2] Task=copy_grad            | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004449.884053 | Wall=2026.94 ms | CUDA=2021.08 ms | ExecWall=0.00 ms | QWait=3380.84 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=5064.98 MB | MaxMem=5065.48 MB | GpuUtil=0% | Power=97.93/300.00W
[GPU 2] Task=copy_grad_out        | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004447.639787 | Wall=4402.10 ms | CUDA=4401.99 ms | ExecWall=1.11 ms | QWait=4400.99 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=623.35 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=95.83/300.00W
[GPU 2] Task=compute_backward     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004450.545132 | Wall=1495.38 ms | CUDA=1495.34 ms | ExecWall=1495.38 ms | QWait=0.00 ms | SyncWait=69.04 ms | InjectedSleep=0.00 ms | Mem=623.35 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=95.83/300.00W
[GPU 2] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=2 Target=False | StartTime=1775004452.050161 | Wall=48.36 ms | CUDA=48.32 ms | ExecWall=48.36 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5212.98 MB | GpuUtil=0% | Power=95.83/300.00W

