
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775005432.686803 | Wall=48.52 ms | CUDA=45.73 ms | ExecWall=45.29 ms | QWait=3.22 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.90 MB | MaxMem=568.90 MB | GpuUtil=0% | Power=89.47/300.00W
[GPU 0] Task=copy_batch           | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775005432.767676 | Wall=22.01 ms | CUDA=21.98 ms | ExecWall=22.01 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=642.90 MB | MaxMem=642.90 MB | GpuUtil=2% | Power=89.47/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775005432.693568 | Wall=852.12 ms | CUDA=850.17 ms | ExecWall=852.12 ms | QWait=0.00 ms | SyncWait=297.95 ms | InjectedSleep=0.00 ms | Mem=577.53 MB | MaxMem=1654.03 MB | GpuUtil=43% | Power=130.00/300.00W
[GPU 0] Task=compute_forward      | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775005433.560776 | Wall=116.21 ms | CUDA=116.17 ms | ExecWall=116.20 ms | QWait=0.01 ms | SyncWait=15.78 ms | InjectedSleep=0.00 ms | Mem=9789.58 MB | MaxMem=9789.58 MB | GpuUtil=100% | Power=157.64/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=True | StartTime=1775005433.704077 | Wall=1.57 ms | CUDA=1.52 ms | ExecWall=1.57 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9789.58 MB | MaxMem=9789.58 MB | GpuUtil=100% | Power=157.64/300.00W
[GPU 0] Task=copy_batch_out       | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775005433.721046 | Wall=414.33 ms | CUDA=414.30 ms | ExecWall=414.33 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9691.08 MB | MaxMem=9789.58 MB | GpuUtil=2% | Power=173.90/300.00W
[GPU 0] Task=copy_grad            | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775005432.798056 | Wall=4183.27 ms | CUDA=4183.17 ms | ExecWall=0.00 ms | QWait=7456.20 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=9691.08 MB | MaxMem=9789.58 MB | GpuUtil=10% | Power=93.59/300.00W
[GPU 0] Task=compute_backward     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775005433.704546 | Wall=3513.06 ms | CUDA=3512.98 ms | ExecWall=3513.06 ms | QWait=0.00 ms | SyncWait=1.49 ms | InjectedSleep=0.00 ms | Mem=560.68 MB | MaxMem=10157.09 MB | GpuUtil=63% | Power=101.76/300.00W
[GPU 0] Task=compute_optimize     | Batch=1 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.233207 | Wall=27.45 ms | CUDA=27.38 ms | ExecWall=27.45 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=63% | Power=101.76/300.00W

====== Step 2 ======
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1775005437.007414 | Wall=13.11 ms | CUDA=12.96 ms | ExecWall=13.11 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=10157.09 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=93.59/300.00W
[GPU 0] Task=copy_batch           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.024339 | Wall=19.31 ms | CUDA=15.67 ms | ExecWall=19.31 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=10084.08 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=93.59/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1775005437.263957 | Wall=1.22 ms | CUDA=1.16 ms | ExecWall=1.22 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=63% | Power=101.76/300.00W
[GPU 0] Task=copy_model           | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.267843 | Wall=151.89 ms | CUDA=3.92 ms | ExecWall=151.89 ms | QWait=0.00 ms | SyncWait=0.93 ms | InjectedSleep=0.00 ms | Mem=666.83 MB | MaxMem=10157.09 MB | GpuUtil=56% | Power=126.20/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1775005437.268064 | Wall=345.67 ms | CUDA=345.63 ms | ExecWall=345.67 ms | QWait=0.00 ms | SyncWait=339.44 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=165.92/300.00W
[GPU 0] Task=compute_forward      | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.640412 | Wall=67.00 ms | CUDA=66.97 ms | ExecWall=67.00 ms | QWait=0.01 ms | SyncWait=61.12 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=185.08/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=True | StartTime=1775005437.713377 | Wall=1.13 ms | CUDA=1.08 ms | ExecWall=1.13 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=185.08/300.00W
[GPU 0] Task=copy_batch_out       | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.717347 | Wall=1.05 ms | CUDA=1.01 ms | ExecWall=1.05 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=185.08/300.00W
[GPU 0] Task=copy_grad            | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.050588 | Wall=2244.40 ms | CUDA=2244.00 ms | ExecWall=0.00 ms | QWait=3824.85 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=49% | Power=102.12/300.00W
[GPU 0] Task=compute_backward     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005437.713405 | Wall=1709.15 ms | CUDA=1708.95 ms | ExecWall=1709.15 ms | QWait=0.00 ms | SyncWait=117.15 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=99% | Power=102.49/300.00W
[GPU 0] Task=compute_optimize     | Batch=2 UBatch=0 | Partition=0 Target=False | StartTime=1775005439.433006 | Wall=12.96 ms | CUDA=12.91 ms | ExecWall=12.96 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=99% | Power=102.49/300.00W

====== Step 3 ======
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775005439.417672 | Wall=13.51 ms | CUDA=13.44 ms | ExecWall=13.51 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=99% | Power=102.49/300.00W
[GPU 0] Task=copy_batch           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005439.441788 | Wall=12.56 ms | CUDA=12.49 ms | ExecWall=12.56 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=99% | Power=102.49/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775005439.456091 | Wall=1.51 ms | CUDA=1.46 ms | ExecWall=1.51 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=99% | Power=102.49/300.00W
[GPU 0] Task=copy_model           | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005439.590661 | Wall=211.55 ms | CUDA=17.42 ms | ExecWall=211.55 ms | QWait=0.00 ms | SyncWait=15.74 ms | InjectedSleep=0.00 ms | Mem=666.83 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=170.44/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775005439.458362 | Wall=345.02 ms | CUDA=344.98 ms | ExecWall=345.02 ms | QWait=0.00 ms | SyncWait=339.38 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=170.44/300.00W
[GPU 0] Task=compute_forward      | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005439.814916 | Wall=67.72 ms | CUDA=67.68 ms | ExecWall=67.71 ms | QWait=0.00 ms | SyncWait=61.74 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=188.79/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1775005439.885901 | Wall=1.14 ms | CUDA=1.09 ms | ExecWall=1.13 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=188.79/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005440.019172 | Wall=1.06 ms | CUDA=0.97 ms | ExecWall=1.06 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=91% | Power=197.73/300.00W
[GPU 0] Task=copy_grad            | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005439.458391 | Wall=1898.79 ms | CUDA=1898.49 ms | ExecWall=0.00 ms | QWait=3369.12 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=0% | Power=103.08/300.00W
[GPU 0] Task=compute_backward     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005439.885871 | Wall=1601.47 ms | CUDA=1597.71 ms | ExecWall=1601.47 ms | QWait=0.00 ms | SyncWait=113.87 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W
[GPU 0] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.530271 | Wall=3.55 ms | CUDA=3.49 ms | ExecWall=3.55 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W

====== Step 4 ======
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775005441.479209 | Wall=11.23 ms | CUDA=11.17 ms | ExecWall=11.23 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.513004 | Wall=10.70 ms | CUDA=10.66 ms | ExecWall=10.70 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=575.99 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W
